CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
GRIS METALICO;NOCTURNO;DUCO;55;70;38;26;25;;;;;;;;;;;;
GRIS GRAFITO METALICO;GRAFITO-MET;DUCO;105;17;8;1;4;3;3;;;;;;;;;;
GRIS BASE MET;ZNZ;DUCO;22;3;1;34;10;2;6;60;;;;;;;;;
MARRON METALICO;CNA;DUCO;52;18;40;30;;;;;;;;;;;;;
GRIS BASE METALICO;N9S;DUCO;205;30;10;6;30;55;80;;;;;;;;;;
BRONZE CEPILLADO MET;BRONZE;DUCO;110;20;20;4;;;;;;;;;;;;;
BEIGE LINO TOPO;TOPO;DUCO;100;38;8;8;6;8;;;;;;;;;;;
BEIGE TITANIO;TITANIO;DUCO;130;10;3;4;3;;;;;;;;;;;;
AZUL BASE MET P/ T69;T69;DUCO;60;125;10;35;180;;;;;;;;;;;;
BEIGE BASE P/ 1A7;1A7-TOY;DUCO;60;9;1;33;3;44;;;;;;;;;;;
GRIS BASE METALICO;182-TOY;DUCO;80;11;1;31;8;8;15;;;;;;;;;;
BEIGE BASE MET P/ EY0;EY0;DUCO;250;6;60;70;14;;;;;;;;;;;;
ALUMINIO BASE MET P/ ZMU;ZMU;DUCO;800;800;20;;;;;;;;;;;;;;
GRIS BASE MET P/ UJ;UJ;DUCO;60;5;5;70;;;;;;;;;;;;;
AZUL BASE MET P/ J4;J4;DUCO;1400;400;36;21;42;;;;;;;;;;;;
ROJO MET;41V;SER;310;27;21;35;30;;;;;;;;;;;;
GRIS BASE MET P/ TAK;TAK;DUCO;100;160;120;50;100;30;500;;;;;;;;;;
AZUL CELESTE BASE P/ 924;924-TOY;DUCO;30;8;12;56;8;20;20;;;;;;;;;;
BEIGE METALICO BASE;KX4;DUCO;80;10;1;20;30;;;;;;;;;;;;
AZUL METALICO BASE;8P4;DUCO;260;10;90;2;7;73;;;;;;;;;;;
NARANJA MET BASE;CAU;DUCO;100;20;80;100;100;;;;;;;;;;;;
VERDE MET BASE;ZLC;DUCO;45;6;36;3;3;42;;;;;;;;;;;
DORADO BASE MET P/ ZQP;ZQP;DUCO;60;42;35;4;10;;;;;;;;;;;;
GRIS CLARO VERDOSO;VERTIS;DUCO;300;75;6;40;;;;;;;;;;;;;
